   age      N    D n        m     a        q        p        lx     d      L       T      e agem
1    0  47925  419 1 0.008743 0.068 0.008672 0.991328 100000.00   867  99192 7288901 72.889  0.5
2    1 189127   70 4 0.000370 1.626 0.001479 0.998521  99132.78   147 396183 7189709 72.526  3.0
3    5 234793   36 5 0.000153 2.500 0.000766 0.999234  98986.14    76 494741 6793526 68.631  7.5
4   10 238790   46 5 0.000193 3.143 0.000963 0.999037  98910.29    95 494375 6298785 63.682 12.5
5   15 254996  249 5 0.000976 2.724 0.004872 0.995128  98815.05   481 492980 5804410 58.740 17.5
6   20 326831  420 5 0.001285 2.520 0.006405 0.993595  98333.66   630 490106 5311431 54.014 22.5
7   25 355086  403 5 0.001135 2.481 0.005659 0.994341  97703.84   553 487127 4821324 49.346 27.5
8   30 324222  441 5 0.001360 2.601 0.006779 0.993221  97150.99   659 484175 4334198 44.613 32.5
9   35 269963  508 5 0.001882 2.701 0.009368 0.990632  96492.42   904 480384 3850023 39.900 37.5
10  40 261971  769 5 0.002935 2.663 0.014577 0.985423  95588.46  1393 474686 3369639 35.252 42.5
11  45 238011 1154 5 0.004849 2.698 0.023975 0.976025  94195.05  2258 465777 2894953 30.734 47.5
12  50 261612 1866 5 0.007133 2.676 0.035082 0.964918  91936.73  3225 452188 2429176 26.422 52.5
13  55 181385 2043 5 0.011263 2.645 0.054861 0.945139  88711.41  4867 432096 1976988 22.286 57.5
14  60 187962 3496 5 0.018600 2.624 0.089062 0.910938  83844.57  7467 401480 1544893 18.426 62.5
15  65 153832 4366 5 0.028382 2.619 0.132925 0.867075  76377.23 10152 357713 1143412 14.971 67.5
16  70 105169 4337 5 0.041238 2.593 0.187573 0.812427  66224.76 12422 301224  785699 11.864 72.5
17  75  73694 5279 5 0.071634 2.518 0.304102 0.695898  53802.76 16362 228404  484475  9.005 77.5
18  80  57512 6460 5 0.112324 2.423 0.435548 0.564452  37441.22 16307 145182  256070  6.839 82.5
19  85  32248 6146 0 0.190585 5.247 1.000000 0.000000  21133.77 21134 110889  110889  5.247 90.0
