        fatherOccup       sonOccup   black   nonintact     n
  1           farm           farm      no         no    592  
  2           farm           farm      no        yes     55  
  3           farm           farm     yes         no     41  
  4           farm           farm     yes        yes     15  
  5           farm      unskilled      no         no   1005  
  6           farm      unskilled      no        yes    134  
  7           farm      unskilled     yes         no    254  
  8           farm      unskilled     yes        yes     85  
  9           farm        skilled      no         no   1095  
 10           farm        skilled      no        yes    158  
 11           farm        skilled     yes         no    133  
 12           farm        skilled     yes        yes     44  
 13           farm   professional      no         no    943  
 14           farm   professional      no        yes     89  
 15           farm   professional     yes         no     59  
 16           farm   professional     yes        yes     18  
 17      unskilled           farm      no         no     45  
 18      unskilled           farm      no        yes      6  
 19      unskilled           farm     yes         no      5  
 20      unskilled           farm     yes        yes      2  
 21      unskilled      unskilled      no         no   1289  
 22      unskilled      unskilled      no        yes    180  
 23      unskilled      unskilled     yes         no    227  
 24      unskilled      unskilled     yes        yes     60  
 25      unskilled        skilled      no         no   1284  
 26      unskilled        skilled      no        yes    197  
 27      unskilled        skilled     yes         no    115  
 28      unskilled        skilled     yes        yes     34  
 29      unskilled   professional      no         no   1255  
 30      unskilled   professional      no        yes    185  
 31      unskilled   professional     yes         no     99  
 32      unskilled   professional     yes        yes     29  
 33        skilled           farm      no         no     50  
 34        skilled           farm      no        yes     10  
 35        skilled           farm     yes         no      1  
 36        skilled           farm     yes        yes      2  
 37        skilled      unskilled      no         no   1073  
 38        skilled      unskilled      no        yes    176  
 39        skilled      unskilled     yes         no    102  
 40        skilled      unskilled     yes        yes    102  
 41        skilled        skilled      no         no   1678  
 42        skilled        skilled      no        yes    244  
 43        skilled        skilled     yes         no     69  
 44        skilled        skilled     yes        yes     77  
 45        skilled   professional      no         no   2074  
 46        skilled   professional      no        yes    284  
 47        skilled   professional     yes         no     76  
 48        skilled   professional     yes        yes     49  
 49   professional           farm      no         no     49  
 50   professional           farm      no        yes     11  
 51   professional           farm     yes         no      1  
 52   professional      unskilled      no         no    604  
 53   professional      unskilled      no        yes     97  
 54   professional      unskilled     yes         no     34  
 55   professional      unskilled     yes        yes     14  
 56   professional        skilled      no         no   1001  
 57   professional        skilled      no        yes    146  
 58   professional        skilled     yes         no     26  
 59   professional        skilled     yes        yes     10  
 60   professional   professional      no         no   2927  
 61   professional   professional      no        yes    317  
 62   professional   professional     yes         no     52  
 63   professional   professional     yes        yes     19  
