  1       0    59727        279   174078       3720  
  2    01-4   229775         42   754758       1220  
  3    05-9   245172         31   879129        396  
  4   10-14   240110         33   808510        298  
  5   15-19   264957         61   720161        561  
  6   20-24   287176         87   622988        673  
  7   25-29   311111         98   733057        752  
  8   30-34   280991        140   732312        965  
  9   35-39   286899        197   612825       1113  
 10   40-44   308238        362   487996       1405  
 11   45-49   320172        643   284799       1226  
 12   50-54   242230        738   503608       2878  
 13   55-59   210785        972   301879       3266  
 14   60-64   216058       1640   374317       5212  
 15   65-69   224479       2752   256247       6866  
 16   70-74   222578       4509   154623       6182  
 17   75-79   184102       6745   149917       8199  
 18   80-84   140667       9587    88716       9013  
 19     85+   110242      17340    58940      10627  
