"Kazakhstan"  "0"             174078       3720
"Kazakhstan"  "01-4"          754758       1220
"Kazakhstan"  "05-9"          879129        396
"Kazakhstan"  "10-14"         808510        298
"Kazakhstan"  "15-19"         720161        561
"Kazakhstan"  "20-24"         622988        673
"Kazakhstan"  "25-29"         733057        752
"Kazakhstan"  "30-34"         732312        965
"Kazakhstan"  "35-39"         612825       1113
"Kazakhstan"  "40-44"         487996       1405
"Kazakhstan"  "45-49"         284799       1226
"Kazakhstan"  "50-54"         503608       2878
"Kazakhstan"  "55-59"         301879       3266
"Kazakhstan"  "60-64"         374317       5212
"Kazakhstan"  "65-69"         256247       6866
"Kazakhstan"  "70-74"         154623       6182
"Kazakhstan"  "75-79"         149917       8199
"Kazakhstan"  "80-84"          88716       9013
"Kazakhstan"  "85+"            58940      10627
"Sweden"      "0"              59727        279
"Sweden"      "01-4"          229775         42
"Sweden"      "05-9"          245172         31
"Sweden"      "10-14"         240110         33
"Sweden"      "15-19"         264957         61
"Sweden"      "20-24"         287176         87
"Sweden"      "25-29"         311111         98
"Sweden"      "30-34"         280991        140
"Sweden"      "35-39"         286899        197
"Sweden"      "40-44"         308238        362
"Sweden"      "45-49"         320172        643
"Sweden"      "50-54"         242230        738
"Sweden"      "55-59"         210785        972
"Sweden"      "60-64"         216058       1640
"Sweden"      "65-69"         224479       2752
"Sweden"      "70-74"         222578       4509
"Sweden"      "75-79"         184102       6745
"Sweden"      "80-84"         140667       9587
"Sweden"      "85+"           110242      17340
