        0         47925       419
        1        189127        70
        5        234793        36
       10        238790        46
       15        254996       249
       20        326831       420
       25        355086       403
       30        324222       441
       35        269963       508
       40        261971       769
       45        238011      1154
       50        261612      1866
       55        181385      2043
       60        187962      3496
       65        153832      4366
       70        105169      4337
       75         73694      5279
       80         57512      6460
       85         32248      6146
