         0       15758          63      100000        .152
         1        3169         275       99217       1.605
         5        1634         268       99050       2.275
        10        1573         217       98959       2.843
        15        3955         318       98870       2.657
        20        4948         467       98637       2.547
        25        6491         856       98379        2.55
        30        9428        1924       98070       2.616
        35       12027        3532       97653       2.677
        40       15543        5958       97083       2.685
        45       19264        8434       96289       2.681
        50       25384       11673       95008       2.655
        55       37211       17078       93018       2.647
        60       59431       25263       89882       2.646
        65       88087       33534       85249       2.631
        70      114693       36695       78711       2.628
        75      143554       36571       69618       2.618
        80      164986       30220       57486        2.57
        85      320578       32739       41756       6.539
