    sex cohort        age   dead  alive
   Male 1941-59    0-1/12     99      0
   Male 1941-59 1/12-3/12     35      0
   Male 1941-59 3/12-6/12     34      0
   Male 1941-59     1/2-1     44      0
   Male 1941-59       1-2     43      0
   Male 1941-59       2-5     49      0
   Male 1941-59      5-10     22      0
   Male 1941-59       10+     24   1425
   Male 1960-67    0-1/12    107      0
   Male 1960-67 1/12-3/12     23      0
   Male 1960-67 3/12-6/12     36      0
   Male 1960-67     1/2-1     37      0
   Male 1960-67       1-2     42      0
   Male 1960-67       2-5     46      0
   Male 1960-67      5-10     23    441
   Male 1960-67       10+      4   1751
   Male 1968-76    0-1/12    112     17
   Male 1968-76 1/12-3/12     33     77
   Male 1968-76 3/12-6/12     32     89
   Male 1968-76     1/2-1     48    163
   Male 1968-76       1-2     40    376
   Male 1968-76       2-5     35    926
   Male 1968-76      5-10      5   1182
   Male 1968-76       10+      1      0
 Female 1941-59    0-1/12     69      0
 Female 1941-59 1/12-3/12     13      0
 Female 1941-59 3/12-6/12     29      0
 Female 1941-59     1/2-1     45      0
 Female 1941-59       1-2     59      0
 Female 1941-59       2-5     32      0
 Female 1941-59      5-10     18      0
 Female 1941-59       10+     16   1369
 Female 1960-67    0-1/12     90      0
 Female 1960-67 1/12-3/12     25      0
 Female 1960-67 3/12-6/12     26      0
 Female 1960-67     1/2-1     44      0
 Female 1960-67       1-2     55      0
 Female 1960-67       2-5     57      0
 Female 1960-67      5-10     16    408
 Female 1960-67       10+      7   1699
 Female 1968-76    0-1/12     83      8
 Female 1968-76 1/12-3/12     22     54
 Female 1968-76 3/12-6/12     26     96
 Female 1968-76     1/2-1     37    142
 Female 1968-76       1-2     47    328
 Female 1968-76       2-5     35    907
 Female 1968-76      5-10      5   1127
 Female 1968-76       10+      0      0
