  age S
  0 1.00000
  1 0.99408
  2 0.99366
  3 0.99341
  4 0.99322
  5 0.99306
  6 0.99292
  7 0.99280
  8 0.99269
  9 0.99258
 10 0.99247
 11 0.99237
 12 0.99226
 13 0.99212
 14 0.99196
 15 0.99177
 16 0.99152
 17 0.99120
 18 0.99077
 19 0.99021
 20 0.98957
 21 0.98884
 22 0.98804
 23 0.98721
 24 0.98633
 25 0.98544
 26 0.98454
 27 0.98360
 28 0.98262
 29 0.98164
 30 0.98064
 31 0.97958
 32 0.97850
 33 0.97740
 34 0.97624
 35 0.97501
 36 0.97373
 37 0.97242
 38 0.97107
 39 0.96964
 40 0.96812
 41 0.96646
 42 0.96470
 43 0.96275
 44 0.96069
 45 0.95848
 46 0.95606
 47 0.95336
 48 0.95039
 49 0.94717
 50 0.94358
 51 0.93968
 52 0.93541
 53 0.93084
 54 0.92594
 55 0.92066
 56 0.91492
 57 0.90873
 58 0.90221
 59 0.89522
 60 0.88787
 61 0.87998
 62 0.87162
 63 0.86281
 64 0.85349
 65 0.84354
 66 0.83308
 67 0.82125
 68 0.80992
 69 0.79707
 70 0.78316
 71 0.76786
 72 0.75209
 73 0.73528
 74 0.71739
 75 0.69816
 76 0.67765
 77 0.65597
 78 0.63255
 79 0.60750
 80 0.58165
 81 0.55370
 82 0.52439
 83 0.49357
 84 0.46163
 85 0.42867
 86 0.39417
 87 0.35926
 88 0.32383
 89 0.28900
 90 0.25497
 91 0.22143
 92 0.18912
 93 0.15858
 94 0.12961
 95 0.10424
 96 0.08232
 97 0.06349
 98 0.04776
 99 0.03498
100 0.02491
101 0.01722
102 0.01154
103 0.00750
104 0.00471
105 0.00286
106 0.00168
107 0.00096
108 0.00053
109 0.00028
110 0.00014
